price_chf,city,postal_code,latitude,longitude,surface_m2,num_rooms,type,is_furnished,floor,wifi_incl,charges_incl,car_park,dist_public_transport_km,proxim_hesso_km,nearest_hesso_name
439,Saxon,1907,46.145513,7.177716,20.6,1.0,room,True,4,True,True,False,0.483,16.9,HES-SO Sion
579,Sion,1950,46.222898,7.355686,24.0,1.0,room,True,1,True,False,False,0.13,0.7,HES-SO Sion
288,Vétroz,1963,46.219782,7.286693,17.3,1.0,room,True,2,False,False,False,0.696,5.9,HES-SO Sion
285,Martigny,1920,46.106572,7.070666,17.1,1.0,room,True,2,False,False,False,0.072,26.21,HES-SO Sion
306,Riddes,1908,46.167935,7.215894,15.3,1.0,room,False,1,True,False,False,0.531,13.08,HES-SO Sion
413,Vétroz,1963,46.225855,7.281616,15.0,1.0,room,True,3,True,True,False,0.186,6.24,HES-SO Sion
396,Sierre,3960,46.295453,7.539265,17.8,1.0,room,False,3,False,True,False,0.123,0.49,HES-SO Sierre
430,Martigny,1920,46.103702,7.074318,21.0,1.0,room,True,3,True,True,False,0.173,26.14,HES-SO Sion
646,Leuk,3953,46.314699,7.638254,29.6,1.0,room,True,5,False,True,False,0.515,7.16,HES-SO Loeche
422,Sion,1950,46.23065,7.357512,20.7,1.0,room,False,3,True,False,False,0.064,0.56,HES-SO Sion
338,Saxon,1907,46.148989,7.172949,23.9,1.0,room,False,2,False,False,False,0.058,17.01,HES-SO Sion
483,Visp,3930,46.293095,7.879509,21.8,1.0,room,True,1,True,True,False,0.164,21.68,HES-SO Loeche
500,Leuk,3953,46.317964,7.632848,29.2,1.0,room,False,3,False,True,False,0.138,6.76,HES-SO Loeche
370,Sierre,3960,46.293717,7.53597,15.2,1.0,room,False,1,True,False,False,0.13,0.2,HES-SO Sierre
477,Fully,1926,46.133132,7.112921,25.3,1.0,room,True,3,True,False,False,0.189,21.91,HES-SO Sion
375,Conthey,1964,46.21809,7.296528,15.5,1.0,room,True,5,False,False,True,0.025,5.19,HES-SO Sion
469,Brig,3900,46.320487,7.986617,20.9,1.0,room,True,1,True,True,True,0.037,28.46,HES-SO Loeche
453,Fully,1926,46.14126,7.11548,22.8,1.0,room,True,1,True,False,False,0.38,21.32,HES-SO Sion
467,Visp,3930,46.290651,7.887324,23.5,1.0,room,True,4,True,False,False,0.131,22.34,HES-SO Loeche
413,Saxon,1907,46.150899,7.174681,16.3,1.0,room,True,3,True,True,True,0.194,16.79,HES-SO Sion
495,Sion,1950,46.228483,7.355801,15.7,1.0,room,True,4,True,True,True,0.207,0.54,HES-SO Sion
604,Sion,1950,46.231196,7.354209,27.4,1.0,room,False,1,True,True,False,0.103,0.79,HES-SO Sion
628,Vétroz,1963,46.222762,7.28043,29.5,1.0,room,False,3,True,True,True,0.362,6.35,HES-SO Sion
1385,Leuk,3953,46.315543,7.633111,41.6,1.5,entire_home,True,0,True,False,False,0.271,7.03,HES-SO Loeche
